NAMA FILE,JENIS,UKURAN,HARGA (Kr),KONDISI
1. Jaket Anak Cross  Sportswear,Jaket,134/140,25,Sobek di dekat saku
2.  Jaket Winter Amisu,Jaket,36,150,Bagus
3. Peacoat Style KappAhl,Jaket,L  (44/46),50,Bagus
"4, Kemeja MayountFit",Kemeja,36,Free,Bagus
5. Kemeja Colorbox,Kemeja,L,Free,Bagus
6. Rok Fashion,Rok,All Size,10,Bagus
7. Jean Wanita Perfect Jeans,Celana,38,25,Bagus
8. Sweatpants Burgundy,Celana,M/L,15,Bagus
9. Ankle Pants Kotak Abu,Celana,M/L,16,Bagus
10. Training Coklat H&M,Celana,M,Free,Bagus
11. Training Navy Nike,Celana,M,Free,Bagus
12. One-Set Loungewear,Set,M/L,100,Bagus
13. Long sleeve T-shirt Uniqlo,Baju,M,Fee,Bagus
14. Polo Sweatshirt Colorbox,Baju,M,Fee,Bagus
15. Hoodie Pullover Adidas,Baju,M,Fee,Bagus
16. Jogger Denim Uniqlo,Celana,L,50,Bguas
17. Utility Pants H&M,Celana,40,50,Bagus
18. Denim Pants Line Weekday,Celana,30,25,Kancing Copot 1
19. Celana Panjang Casual Black,Celana,31/30,25,Bagus
20. Denim Pants A Day's March,Baju,31,25,Bagus
21. Knitted Sweater 157,Baju,M,15,Bagus
22. Sweatshirt Dress Vailent Purex,Baju,M,Free,Bagus
23. Sweater Dress Rajut H&M,Baju,XS,15,Bagus
24. Jaket Puffer Burgundy Esmara,Jaket,M/L,25,Bagus
25. Puffer Vest Anak Drop ,Jaket,146,10,Bagus
26. Jaket Softshell S.Oliver,Jaket,M /152,10,Bagus
27. Long Overcoat Anak Viaggio Blu,Jaket,0,10,Bagus
28. Winter Puffer Jacket GapKids,Jaket,XXL (160/80),15,Bagus
29. Jacket Puffer Parka Winter Smog,Jaket,L,300,News
30. Jacket Puffer Winter Amisu,Jaket,36,295,News
31. Jaket Winter The Duffer,Jaket,L,15,cukup
32. Casual Parka pria Bugatti,Jaket,Big size,80,Bagus
33. Jaket Winter Anak Fix,Jaket,134,50,Bagus
34. Jaket Winter Anak H&M,Jaket,128,50,Bagus
35. Sepeda Monark ,Sepeda,7 Gear,2000,Bagus
36. Sepeda Ortler,Sepeda,7 Gear,450,Gear Patah
37. Helm Dewasa,Helm,M/L,50,Bagus
38. Helm Anak,Helm,M,35,Bagus
39. Sepatu Winter Quechua,Sepatu,41,Free,Terkelupas sedikit
40. Boots Rantai,Sepatu,40,150,Bagus
41. Boots Rendah Wanita,Sepatu,41,150,Bagus
42. Boots Anak Ski Industries,Sepatu,33,50,BAgus
43. Boots Winter Kulit 5TH Avenue,Sepatu,40,500,Bagus
44. Sepatu Water proof Anak,Sepatu,33,Free,Terkelupas sedikit
45. Sepatu Casual Concerse Anak,Sepatu,33,Free,Tali putus sebelah
46. Deep Fryer Siemens,Tools,,Free,Bagus
47. Pulka Stiga Snowrocket 110,Accesories,,Free,Ada yag patah
